drntanguay	#AMIA2014 I'd like to change the Tutorials I signed up for. Anyone know how to do it?	Sun Nov 9 4:54:27 PST 2014   
jimmie_vanagon	RT @wareFLO: .@jimmie_vanagon @Farzad_MD @rvaughnmd @FierceHealthIT TX4RT we've similar emphases re #EHR workflow visibility CC #AMIA2014 >…	Wed Nov 12 6:18:34 PST 2014   
uthealth_sbmi	The best Museums in D.C. that aren't on the Mall http://t.co/mlpLELoRNY #AMIA2014	Wed Nov 12 6:31:04 PST 2014   
uthealth_sbmi	Unique spots around Washington D.C. http://t.co/3iO8c6eG2C #AMIA2014	Wed Nov 12 7:35:24 PST 2014   
wareflo	*WORKFLOW* becoming marketing meme! Check out this from @ClinicSpectrum cc @HIMSS @AMIAinformatics #HIMSS15 #AMIA2014 http://t.co/Q3WmKC3S4k	Wed Nov 12 7:48:33 PST 2014   
pjmachado	Need LIFE FLOW! MT @wareFLO *WORKFLOW* becoming marketing meme! Check this from @ClinicSpectrum #HIMSS15 #AMIA2014 http://t.co/tQHqpfSyzO	Wed Nov 12 7:49:57 PST 2014   
wareflo	RT @pjmachado: Need LIFE FLOW! MT @wareFLO *WORKFLOW* becoming marketing meme! Check this from @ClinicSpectrum #HIMSS15 #AMIA2014 http://t.…	Wed Nov 12 7:58:20 PST 2014   
clinicspectrum	RT @wareFLO: *WORKFLOW* becoming marketing meme! Check out this from @ClinicSpectrum cc @HIMSS @AMIAinformatics #HIMSS15 #AMIA2014 http://t…	Wed Nov 12 8:03:16 PST 2014   
practicexform	Updated Daily! #AMIA2014 Tweet Volume Visually Compared to #AMIA2013, #AMIA2012, and #AMIA2011 Tweet Volumes - http://t.co/2o4iuAQkGo 2014’…	Wed Nov 12 8:32:07 PST 2014   
uthealth_sbmi	A look at last year's AMIA's Got Talent event. Can't wait for more at #AMIA2014! http://t.co/2sFLARuBD2	Wed Nov 12 8:35:31 PST 2014   
askjoyrios	Updated Daily! #AMIA2014 Tweet Volume Visually Compared to #AMIA2013, #AMIA2012, and #AMIA2011 Tweet Volumes - http://t.co/T1pvwToUvo 2014’…	Wed Nov 12 8:43:15 PST 2014   
uthealth_sbmi	Late breaking sessions at #AMIA2014 http://t.co/WL0HdSa4tO	Wed Nov 12 9:40:33 PST 2014   
acmimimi	Are you ready for AMIA's Got Talent at #AMIA2014 Monday night? @RossMartin hosting! Sign up now! @AMIAinformatics http://t.co/WmNlnEUfcd	Wed Nov 12 9:57:48 PST 2014   
rossmartin	RT @ACMImimi: Are you ready for AMIA's Got Talent at #AMIA2014 Monday night? @RossMartin hosting! Sign up now! @AMIAinformatics http://t.co…	Wed Nov 12 9:58:03 PST 2014   
deloittehealth	ConvergeHEALTH by Deloitte is a proud sponsor of #AMIA2014. Join us in DC, Nov 15-19 @ booth 209:http://t.co/mT73tJUrVm	Wed Nov 12 10:23:01 PST 2014   
uthealth_sbmi	Dr. Roy Simpson on iHealth, Nursing and #AMIA2014 http://t.co/xl1FemPbcR	Wed Nov 12 11:31:06 PST 2014   
linguamatics	5 days until our #AMIA2014 corporate roundtable http://t.co/eb18rNCCjH @AMIAinformatics	Wed Nov 12 12:01:10 PST 2014   
uthealth_sbmi	Biomedical informatics is making its way down to high school. Check out the HS Scholars at #AMIA2014 http://t.co/aSkpY1VY11	Wed Nov 12 12:40:38 PST 2014   
uthealth_sbmi	#AMIA2014 Corporate Roundtable events look to interact directly with experts in the field. http://t.co/6F6vX1Qrqe	Wed Nov 12 13:25:13 PST 2014   
wareflo	NSF CFP Algorithms in the Field http://t.co/cCKARoV0iB may be of interests to #CDS #ProcessMining #AMIA2014 medical informatics twepes	Wed Nov 12 13:59:47 PST 2014   
newsdatascience	RT @wareFLO: NSF CFP Algorithms in the Field http://t.co/cCKARoV0iB may be of interests to #CDS #ProcessMining #AMIA2014 medical informatic…	Wed Nov 12 14:07:14 PST 2014   
titusschleyer	@RCBMI heads to Washington, DC, for #AMIA2014 for another party of innovation and fun! Join us! http://t.co/4qZefveMoa @AMIAInformatics	Wed Nov 12 14:52:56 PST 2014   
dieselcmio	@WoodSplitters This CMIO uses Stihl MS441 saw/off brand 18 ton splitter with a Honda GX. #health #healthIT #AMIA2014 http://t.co/PcwNW25GfC	Wed Nov 12 15:09:30 PST 2014   
katefu	RT @JustinStarren: #AMIA2014 #BWParty @AMIAinformatics. At AMIA it has got to be only one possible choice: Dangerous by Big Data #DataDanc…	Wed Nov 12 15:30:03 PST 2014   
johnlhook	@RCBMI heads to Washington, DC, for #AMIA2014 for another party of innovation and fun! Join us! http://t.co/tjpOdwLORn @AMIAInformatics	Wed Nov 12 15:33:49 PST 2014   
amiainformatics	RT @titusschleyer: @RCBMI heads to Washington, DC, for #AMIA2014 for another party of innovation and fun! Join us! http://t.co/4qZefveMoa @…	Wed Nov 12 16:16:37 PST 2014   
wareflo	Working on a 'workflow' #KWIC (Key Word In Context) analysis of #AMIA2014 2012 page proceedings. Concordance. That sort of thing. You know.	Wed Nov 12 19:06:53 PST 2014   
rcbmi	RT @titusschleyer: @RCBMI heads to Washington, DC, for #AMIA2014 for another party of innovation and fun! Join us! http://t.co/4qZefveMoa @…	Wed Nov 12 20:14:56 PST 2014   
kerfors	RT @wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/MoFcKIWAC9 I'm predicting Monday! http://t.co/MO5tsH5kh9	Wed Nov 12 23:14:07 PST 2014   
phil_rob	@HISA_news @IBESHBIR Well deserved recognition for @fermarsan as Fellow of ACMI #AMIA2014 #IMIA	Wed Nov 12 23:43:57 PST 2014   
uoithir	Our latest Morphine PK/PD models in critical newborns using cardiorespiratory physiological data Tue 18th Nov #AMIA2014 @NBressan	Thu Nov 13 2:23:40 PST 2014   
cpmrcmichelle	Leaving St Louis today. Leave tomorrow for @AMIAinformatics #AMIA2014. #RoadWarrior	Thu Nov 13 3:32:45 PST 2014   
ckuziemsky	Off to Washington for #AMIA2014	Thu Nov 13 3:34:23 PST 2014   
wareflo	.@BertGold4 of course some coding systems ARE about workflow, there's a SIIM #imaging workflow ontology project, also a paper in #AMIA2014	Thu Nov 13 4:09:20 PST 2014   
uthealth_sbmi	Get your application to join #SBMI in by 11/15, and then join us in Washington, DC for #AMIA2014! http://t.co/8HGCkqrH1W	Thu Nov 13 6:15:23 PST 2014   
regenstriefghi	RT @titusschleyer: @RCBMI heads to Washington, DC, for #AMIA2014 for another party of innovation and fun! Join us! http://t.co/4qZefveMoa @…	Thu Nov 13 6:31:32 PST 2014   
wareflo	Except this tweet so far no mention of #worldusabilityday & #EHR or #EMR or EHR or EMR? http://t.co/lIoiN268bw & only 1 last year? #AMIA2014	Thu Nov 13 6:54:34 PST 2014   
wareflo	'workflow' 5 times (user customizable) #EHR & #Ebola: The Reality is Reassuring @msegal111 @motorcycle_guy http://t.co/ziHRPI2eBX #AMIA2014	Thu Nov 13 7:12:39 PST 2014   
motorcycle_guy	RT @wareFLO: 'workflow' 5 times (user customizable) #EHR & #Ebola: The Reality is Reassuring @msegal111 @motorcycle_guy http://t.co/ziHRPI2…	Thu Nov 13 7:13:52 PST 2014   
uthealth_sbmi	Which of the #AMIA2014 themes most interests you? Have you considered sessions that branch out from your usual? http://t.co/wZjD626KJw	Thu Nov 13 7:50:18 PST 2014   
uthealth_sbmi	Check out the @TEDMED talk of #AMIA2014 opening session keynote speaker Amy Abernathy, MD, PhD at http://t.co/kOf58f4wQC	Thu Nov 13 8:40:15 PST 2014   
wareflo	Updated Daily! (starting saturday) #AMIA2014 Tweet volume visuallly compared to previous years http://t.co/MoFcKIWAC9 http://t.co/4F4OZfByz1	Thu Nov 13 8:45:50 PST 2014   
dpugrad01	@RCBMI heads to Washington, DC, for #AMIA2014 for another party of innovation and fun! Join us! http://t.co/UXW2B5cu1J @AMIAInformatics	Thu Nov 13 9:00:30 PST 2014   
linguamatics	RT @UTHealth_SBMI: Which of the #AMIA2014 themes most interests you? Have you considered sessions that branch out from your usual? http://…	Thu Nov 13 9:18:37 PST 2014   
uthealth_sbmi	Are you a member of an #AMIA2014 working group? Learn more and attend a meeting to get more involved at http://t.co/sPpvkaDENY	Thu Nov 13 9:20:42 PST 2014   
annaschorer	#amia2014 #bwparty dj I want to dance to "I will survive" @amiainformatics. #datadancer	Thu Nov 13 9:45:02 PST 2014   
wareflo	Looking at every use of 'workflow' in #AMIA2014 proceedings. Very interesting. Not sure if will get thru all 769 instances. But will try!	Thu Nov 13 10:02:12 PST 2014   
linguamatics	How can #NLProc transform patient care? Send us your answer online at http://t.co/XhkHGXBjsZ or stop by booth 208 at #AMIA2014 #competition	Thu Nov 13 10:19:09 PST 2014   
kenmorecam	Discover the future of #healthcare research w/ ConvergeHEALTH by Deloitte: http://t.co/Qq3iMWe7Yf #AMIA2014	Thu Nov 13 10:33:37 PST 2014   
carmstrong62	Discover the future of #healthcare research w/ ConvergeHEALTH by Deloitte: http://t.co/6GCu645oHK #AMIA2014	Thu Nov 13 10:35:02 PST 2014   
wareflo	Have looked at ~250 instances of 'workflow' in #AMIA2014 proceedings. Associated w/checklists, decision support, situational awareness, etc.	Thu Nov 13 10:49:27 PST 2014   
wareflo	Example of KWIC (Key Word In Context) concordance for 'workflow' in #AMIA2014 proceedings https://t.co/BrroDQTSNd http://t.co/py5bt6miS9	Thu Nov 13 11:00:42 PST 2014   
amiainformatics	#AMIA2014 B52s,Bowie,Pitbull,Prince,Weathergirls,Dexys,Salt-n-Pepa,Deeelite+#DataDancer Send MORE #BWParty requests! RT	Thu Nov 13 11:07:52 PST 2014   
ferventlovemedi	RT @AMIAinformatics: #AMIA2014 B52s,Bowie,Pitbull,Prince,Weathergirls,Dexys,Salt-n-Pepa,Deeelite+#DataDancer Send MORE #BWParty requests! RT	Thu Nov 13 11:13:53 PST 2014   
abtassociates	We're presenting on #MeaningfulUse at #AMIA2014 next week! View our schedule: http://t.co/NSeEgylBeR @AMIAinformatics	Thu Nov 13 11:15:38 PST 2014   
wareflo	Interesting #AMIA2014 paper defining patient engagement content & workflow requirements 10:30 AM Wed by @DBatesSafety @Sarah_A_Collins et al	Thu Nov 13 11:25:17 PST 2014   
imshealth	Join us at #AMIA2014, Nov 16-19 in DC. Let's talk about data, analytics and technology in #healthcare innovation http://t.co/i1hsF4NQLW	Thu Nov 13 11:38:55 PST 2014   
uthealth_sbmi	Plan on doing any sightseeing in Washington, DC while at #AMIA2014? Get around with this app. http://t.co/4l3kHwWHDO	Thu Nov 13 11:40:19 PST 2014   
wareflo	Most use some sorta workflow tech #AMIA2014 RT @JamieTitak #HL7 Interface Engines Utilized in 2014 via @Healthcare_IT http://t.co/t57Y5xwDv1	Thu Nov 13 11:41:48 PST 2014   
wareflo	Innovative @Intermountain problem list workflow system @ #AMIA2014 @ 10:30 Tuesday: problem ≈ task, problem evolution ≈ workflow < very cool	Thu Nov 13 12:12:34 PST 2014   
wareflo	'situational awareness' is mentioned 17 times in #AMIA2014 proceedings (task status visibility is a traditional strength of workflow tech)	Thu Nov 13 12:21:02 PST 2014   
genomegal	RT @UTHealth_SBMI: Are you a member of an #AMIA2014 working group? Learn more and attend a meeting to get more involved at http://t.co/sPpv…	Thu Nov 13 12:24:09 PST 2014   
genomegal	RT @wareFLO: Will #AMIA2014 break 2500 tweets a day?! If so, which day? http://t.co/MoFcKIWAC9 I'm predicting Monday! http://t.co/MO5tsH5kh9	Thu Nov 13 12:26:40 PST 2014   
uthealth_sbmi	If you're a woman in #informatics, check out this special #AMIA2014 networking event on 11/18. http://t.co/3gU7BQOlKS	Thu Nov 13 12:35:24 PST 2014   
wareflo	Finding dynamite #AMIA2014 papers on workflow, care coordination, situational awareness, checklists < ideal to implement w/workflow tech IMO	Thu Nov 13 12:41:00 PST 2014   
thorstenkampp	RT @wareFLO: Finding dynamite #AMIA2014 papers on workflow, care coordination, situational awareness, checklists < ideal to implement w/wor…	Thu Nov 13 12:44:51 PST 2014   
mikebrehm	RT @titusschleyer: @RCBMI heads to Washington, DC, for #AMIA2014 for another party of innovation and fun! Join us! http://t.co/4qZefveMoa @…	Thu Nov 13 13:07:56 PST 2014   
uthealth_sbmi	Are you ready for #AMIA2014? #SBMI is! The countdown is on. http://t.co/xUV2fiNPAH	Thu Nov 13 13:20:11 PST 2014   
uthealth_sbmi	Plan to stick around on 11/19 for the #AMIA2014 Closing Session. @KBDeSalvo is National Coordinator for Health Information Technology. #HIT	Thu Nov 13 14:05:13 PST 2014   
healthgrid	Looking forward to #AMIA2014 next week in DC http://t.co/w5gTuhSM7R let me know if you will be there and want to grab coffee!!	Thu Nov 13 14:10:12 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to Rude by magic	Thu Nov 13 15:28:48 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to Like a surgeon by weird Al Yankovic	Thu Nov 13 15:30:24 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to Locked out of Heaven by Bruno Mars	Thu Nov 13 15:32:30 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to Am I wrong by Nico and Vinz	Thu Nov 13 15:33:46 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to I get knocked down by Chumbawamba	Thu Nov 13 15:35:05 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to Humpty dance by digital underground.	Thu Nov 13 15:36:12 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to Happy by Pharrell Williams	Thu Nov 13 15:37:59 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to Get lucky by Daft punk/Pharrell Williams	Thu Nov 13 15:39:10 PST 2014   
wantnews	.@AMIAinformatics #AMIA2014 #BWParty #DataDancer DJ I want to dance to YMCA by Village people	Thu Nov 13 15:41:33 PST 2014   
